"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,3.237021,2.924035,30.40259,76.71949,113.0587,76.72032,0
"2",0.04166667,2.733809,2.816457,28.43134,2.6455,6.685638,2.650789,0
"3",0.08333333,1.897474,2.157441,24.89297,0,-0.0003237526,1.293504e-13,0
"4",0.125,0.9992177,1.397221,22.72028,0,-0.0003237526,1.293504e-13,0
"5",0.1666667,0.3314039,1.409971,21.90949,0,-0.0003237526,1.293504e-13,0
"6",0.2083333,-0.1357522,1.280877,18.90953,0,-0.0003237526,1.293504e-13,0
"7",0.25,0.3878389,1.21394,17.90491,0,-0.0003237526,1.293504e-13,0
"8",0.2916667,0.6457153,1.056158,15.71195,0,-0.0003237526,1.293504e-13,0
"9",0.3333333,0.7217458,0.777252,12.68793,0,-0.0003237526,1.293504e-13,0
"10",0.375,0.8981051,0.5700643,12.43962,0,-0.0003237526,1.293504e-13,0
"11",0.4166667,0.6621755,0.2656578,17.49444,25.15037,41.88231,25.15389,0
"12",0.4583333,0.3447288,0.6521425,19.01088,147.7312,197.6672,147.7195,0
"13",0.5,-0.3191659,0.9493771,19.08436,323.6751,390.9979,322.9005,0.004608365
"14",0.5416667,-0.7871059,0.9430021,20.43991,506.5226,586.7581,507.464,0.0823402
"15",0.5833333,-1.338131,0.9007677,26.23205,673.0623,759.2077,668.8761,0.0862161
"16",0.625,-1.986349,0.437783,28.75692,807.4573,892.4451,788.5049,0.1438664
"17",0.6666667,-2.169763,-0.06504553,30.58502,897.4949,988.7189,882.6175,0.1715319
"18",0.7083333,-2.034162,-0.2339832,33.66225,936.4888,862.7297,644.6567,0.2769139
"19",0.75,-1.711228,-0.580624,35.08114,921.5037,1003.878,876.6484,0.1184441
"20",0.7916667,-1.548194,-1.41814,36.35435,853.6448,930.3322,807.0986,0.1154838
"21",0.8333333,-1.300507,-1.891484,37.25383,739.3266,732.5241,555.5596,0.4677491
"22",0.875,-1.227612,-2.02536,35.88687,586.558,603.3224,461.0657,0.5777547
"23",0.9166667,-2.079623,-6.003363,34.28048,409.4726,345.8225,250.4519,0.8854012
"24",0.9583333,-2.15487,-7.688754,30.04787,227.4586,135.6062,67.01348,0.8823188
"25",1,0.5892804,-5.39694,28.32365,71.99021,52.70433,6.541156,0.9792166
"26",1.041667,1.14736,-3.649392,27.67375,2.391822,4.035347,0.1525634,0.9068866
"27",1.083333,0.9819737,-2.583172,26.57284,0,-0.0003237526,1.293504e-13,0.8022523
"28",1.125,0.01317338,-1.842875,23.38539,0,-0.0003237526,1.293504e-13,0.6022615
"29",1.166667,-0.04482923,-1.630906,22.8533,0,-0.0003237526,1.293504e-13,0.5853845
"30",1.208333,0.6778519,-1.321718,21.62191,0,-0.0003237526,1.293504e-13,0.5338379
"31",1.25,1.117574,-1.268328,20.3563,0,-0.0003237526,1.293504e-13,0.8284681
"32",1.291667,1.503213,-1.452406,19.39221,0,-0.0003237526,1.293504e-13,0.5293211
"33",1.333333,1.34645,-1.374312,18.24569,0,-0.0003237526,1.293504e-13,0.3453985
"34",1.375,1.168523,-1.593453,18.07467,0,-0.0003237526,1.293504e-13,0.4785833
"35",1.416667,1.725818,-2.044485,22.22367,22.05187,34.29284,16.66755,0.2677277
"36",1.458333,2.550396,-1.804625,23.39553,135.9352,143.6374,73.76441,0.4146766
"37",1.5,3.411813,-0.811718,22.63287,302.9278,206.883,62.68449,0.7677353
"38",1.541667,2.531584,-0.8188899,24.31401,478.9079,442.1767,286.209,0.9561748
"39",1.583333,1.902177,-1.505,26.3562,641.9142,648.9395,420.6555,1
"40",1.625,1.945287,-2.032531,27.26708,774.606,633.339,319.0101,0.9915462
"41",1.666667,2.510421,-2.425391,28.04241,865.2959,669.4392,221.7128,0.9899898
"42",1.708333,2.986983,-2.644532,29.97692,905.8844,670.5434,286.4759,0.9899898
"43",1.75,3.527034,-2.442922,29.07364,893.436,764.4481,425.2514,0.9722888
"44",1.791667,4.114115,-1.808609,30.17202,834.0753,740.9569,414.1715,0.8099431
